,sensor_id,timestamp
0,M003,1291183411.0
1,M002,1291183416.0
2,M003,1291197467.0
3,M003,1291201529.0
4,M003,1291201531.0
5,M002,1291201532.0
6,M003,1291201538.0
7,M003,1291202063.0
8,M003,1291207764.0
9,M003,1291209940.0
10,M003,1291209948.0
11,M002,1291209949.0
12,M003,1291209963.0
13,M003,1291209975.0
14,M003,1291215009.0
15,M002,1291215011.0
16,M002,1291215019.0
17,M007,1291215025.0
18,M007,1291215041.0
19,M003,1291215044.0
20,M007,1291215044.0
21,M007,1291215051.0
22,M003,1291215057.0
23,M007,1291215063.0
24,M003,1291215063.0
25,M007,1291215069.0
26,M007,1291215071.0
27,M003,1291215075.0
28,M007,1291215078.0
29,M003,1291215083.0
30,M007,1291215085.0
31,M003,1291215086.0
32,M007,1291215093.0
33,M005,1291215098.0
34,M007,1291215104.0
35,M005,1291215105.0
36,M003,1291215114.0
37,M007,1291215120.0
38,M005,1291215129.0
39,M007,1291215132.0
40,M007,1291215145.0
41,M005,1291215145.0
42,M004,1291215149.0
43,M004,1291215478.0
44,M007,1291215479.0
45,M005,1291215481.0
46,M003,1291215496.0
47,M006,1291215500.0
48,M020,1291215500.0
49,M008,1291215501.0
50,M014,1291215505.0
51,M013,1291215506.0
52,M012,1291215508.0
53,M011,1291215512.0
54,M020,1291215533.0
55,M012,1291215537.0
56,M013,1291215538.0
57,M014,1291215542.0
58,M018,1291215545.0
59,M019,1291215545.0
60,M015,1291215548.0
61,M019,1291215554.0
62,M015,1291215564.0
63,M019,1291215564.0
64,M019,1291215576.0
65,M019,1291215580.0
66,M015,1291215582.0
67,M015,1291215595.0
68,M015,1291215605.0
69,M019,1291215606.0
70,M019,1291215614.0
71,M019,1291215630.0
72,M019,1291215635.0
73,M019,1291215639.0
74,M015,1291215646.0
75,M017,1291215648.0
76,M016,1291215649.0
77,M017,1291215656.0
78,M019,1291215657.0
79,M015,1291215659.0
80,M015,1291215666.0
81,M019,1291215667.0
82,M019,1291215671.0
83,M018,1291215674.0
84,M017,1291215675.0
85,M015,1291215678.0
86,M015,1291215688.0
87,M019,1291215690.0
88,M015,1291215701.0
89,M019,1291215701.0
90,M019,1291215708.0
91,M015,1291215713.0
92,M019,1291215713.0
93,M017,1291215714.0
94,M018,1291215714.0
95,M015,1291215716.0
96,M019,1291215728.0
97,M015,1291215734.0
98,M015,1291215759.0
99,M019,1291215759.0
100,M015,1291215765.0
101,M015,1291215777.0
102,M015,1291215780.0
103,M019,1291215780.0
104,M019,1291215796.0
105,M015,1291215800.0
106,M019,1291215800.0
107,M018,1291215803.0
108,M019,1291215808.0
109,M018,1291215813.0
110,M019,1291215815.0
111,M018,1291215816.0
112,M019,1291215820.0
113,M018,1291215834.0
114,M019,1291215835.0
115,M014,1291215837.0
116,M020,1291215840.0
117,M013,1291215844.0
118,M020,1291215845.0
119,M009,1291215847.0
120,M010,1291215850.0
121,M009,1291215855.0
122,M020,1291215857.0
123,M009,1291215860.0
124,M020,1291215864.0
125,M009,1291215866.0
126,M020,1291215873.0
127,M010,1291215874.0
128,M020,1291215877.0
129,M012,1291215878.0
130,M013,1291215880.0
131,M014,1291215888.0
132,M020,1291215888.0
133,M018,1291215900.0
134,M019,1291215902.0
135,M017,1291215902.0
136,M017,1291215908.0
137,M019,1291215908.0
138,M016,1291215911.0
139,M017,1291215915.0
140,M016,1291215931.0
141,M017,1291215933.0
142,M019,1291215934.0
143,M019,1291215944.0
144,M015,1291215945.0
145,M019,1291215963.0
146,M015,1291215963.0
147,M015,1291215965.0
148,M015,1291215969.0
149,M019,1291215974.0
